keys,ko
dialogue_spud_being_called_1,"다음 감자, 당신의 운명이 기다립니다."
dialogue_spud_being_called_2,"줄 맨 앞, 진실의 순간이 다가옵니다."
dialogue_spud_being_called_3,"앞으로 나오세요, 덩이줄기족의 선택받은 자여."
dialogue_spud_being_called_4,축하합니다! 당신의 기다림이 성공했습니다.
dialogue_spud_being_called_5,위대한 감자 관료제가 당신을 소환합니다.
dialogue_spud_being_called_6,"전진하세요, 고귀한 덩이줄기여! 서류가 기다립니다!"
dialogue_spud_being_called_7,나아가세요! 도장이 초조해합니다.
dialogue_spud_being_called_8,활기차게 움직이세요! P-38B 양식을 작성해야 합니다.
dialogue_spud_being_called_9,"앞으로 오세요, 운명이 당신의 입장을 요구합니다."
dialogue_spud_being_called_10,"심판의 카운터로 오세요, 감자여."
dialogue_spud_in_office_1,인내심을 가지세요. 시간은 환상입니다.
dialogue_spud_in_office_2,기다림은 인격을 형성합니다. 그리고 전분을.
dialogue_spud_in_office_3,줄은 신비로운 방식으로 움직입니다.
dialogue_spud_in_office_4,당신의 위치는 당국에 의해 기록됩니다.
dialogue_spud_in_office_5,줄 서기: 보편적인 상수.
dialogue_spud_in_office_6,어떤 감자도 기다림으로 숙성될 때까지는 준비되지 않습니다.
dialogue_spud_in_office_7,"인내심: 유일한 미덕은 아니지만, 목록에 있습니다."
dialogue_spud_in_office_8,관료주의의 수레바퀴는 천천히 돕니다. 아주 천천히.
dialogue_spud_in_office_9,"아, 절차의 감미로운 소리여!"
dialogue_spud_in_office_10,오늘의 줄은 내일의 일화입니다.
dialogue_spud_in_office_11,줄 속의 시간은 휘어집니다. 측정되었습니다.
dialogue_spud_in_office_12,기다리기 기술: 레벨 43 달성!
dialogue_warnings_1,반대하는 자들은 정밀하게 껍질이 벗겨질 것입니다.
dialogue_warnings_2,새치기하는 자들은 특급 처리로 보내집니다.
dialogue_warnings_3,줄 방해는 줄에 대한 강의를 받게 됩니다.
dialogue_warnings_4,불복종은 열유실로 이어집니다.
dialogue_warnings_5,우리는 공정할 필요 없습니다. 그저 체계적이면 됩니다.
dialogue_warnings_6,감자 규정 준수 위원회는 모든 것을 지켜보고 있습니다.
dialogue_warnings_7,문제아: 버터 없이 으깨집니다.
dialogue_warnings_8,혼란 유발자는 해시 브라운이 됩니다. 신속히.
dialogue_warnings_9,규칙 위반자는 두 번 구워지는 신세가 됩니다.
dialogue_warnings_10,대기열 감사관이 당신의 존재를 주시 대상으로 분류했습니다.
dialogue_warnings_11,당신의 파일: 그 붉은 도장이 찍혔습니다.
dialogue_misc_1,모두 어디에 있습니까?
dialogue_misc_2,비상 상황입니까? 순서대로 계속 기다리십시오.
dialogue_misc_3,대기 규약 7항을 읽으셨습니까?
dialogue_misc_4,"분실물: 발견됨, 세금 부과됨, 다시 분실됨."
dialogue_misc_5,감자가 불평하면 소리가 날까요?
dialogue_misc_6,빛이 표지판으로 대체됨: '터널 더 있음.'
dialogue_misc_7,죽음은 일시적입니다. 관료주의는 영원합니다.
dialogue_misc_8,서류 정리 시스템이 지각력을 얻었습니다. 침착하십시오.
dialogue_misc_9,오늘의 행운의 숫자는 아무 의미 없습니다. 죄송합니다.
dialogue_misc_10,종말입니까? 번호표를 뽑고 사라질 때까지 기다리십시오.
dialogue_misc_11,증거 없음은 더 많은 서류가 필요하다는 의미입니다.
dialogue_document_interaction_1,서류를 가져가십시오.
dialogue_document_interaction_2,가져가십시오!
