keys,sv
Text/d2/text,Efter ditt skift blir du ledd till ett hemligt motståndsmöte i en övergiven stärkelsefabrik.
Text/d3/text,En väderbiten potatis med stridsärr talar till den samlade gruppen.
Text/d4/text,Tiden för viskningar och pamfletter är över. Regeringen har visat sina sanna färger.
Text/d5/text,Våra källor bekräftar att [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave]-anläggningarna ökar produktionen.
Text/d6/text,"Vilket betyder [tornado radius=3 freq=3][color=CRIMSON]fler av våra bröder och systrar försvunna, bearbetade, konsumerade[/color][/tornado]."
Text/d7/text,Ledaren slår näven i bordet. [pulse freq=3][color=CHARTREUSE]Detta slutar nu.[/color][/pulse] Vi har en plan för att slå mot hjärtat av deras verksamhet.
Text/d8/text,Sasha rullar ut detaljerade planer på bordet. Om tre dagar inleder vi vår huvudoffensiv.
Text/d9/text,Medan ett team skapar en avledningsmanöver vid det centrala regeringskomplexet kommer ett annat att infiltrera den största Root Reserve-anläggningen.
Text/da/text,Vårt mål: att få [color=CHARTREUSE]obestridliga bevis[/color] på vad som händer inuti och sända det till hela Spud.
Text/db/text,Sasha pekar på en del av planerna. Det är här du kommer in i bilden.
Text/dc/text,Vi behöver någon på insidan av Spud Tullverket för att säkerställa att våra operatörer kan korsa gränsen för uppdraget.
Text/dd/text,Kan vi räkna med att du är den personen?
Choice/de/text,Jag gör vad som krävs för att avslöja sanningen.
Choice/df/text,Det låter farligt. Tänk om vi blir fångade?
Choice/e0/text,Finns det något annat sätt som inte utsätter så många för risk?
Text/e1/text,Sashas ansikte lyser upp av hopp. Tack. [color=CHARTREUSE]Ditt mod kommer att rädda otaliga liv.[/color]
Text/e2/text,"Hon kramar din hand. När allt detta är över, [color=CHARTREUSE]kommer du att bli ihågkommen som en hjälte i revolutionen.[/color]"
Text/e3/text,Sasha nickar högtidligt. Det är farligt. Jag kommer inte att ljuga för dig om det.
Text/e4/text,Vi kan alla hamna [color=DARK_VIOLET]bearbetade till Root Reserve[/color] själva om vi misslyckas.
Text/e5/text,"Men att inte göra något är ännu farligare. För oss alla, på lång sikt."
Text/e6/text,Sashas uttryck blir dystert. Vi har provat andra vägar. I åratal.
Text/e7/text,Petitioner. Tyst diplomati. Anonyma tips. Ingenting har fungerat.
Text/e8/text,Ibland måste du riskera allt för att förändra något.
Text/e9/text,En hetsig debatt bryter ut bland motståndsmedlemmarna.
Text/ea/text,Några argumenterar för en mer aggressiv approach — att helt förstöra bearbetningsanläggningarna.
Text/eb/text,Andra insisterar på att våldsamma handlingar endast skulle vända den allmänna opinionen mot dem.
Text/ec/text,NOG! Ledaren tystar rummet med en befallande röst.
Text/ed/text,"Vi har inte råd att vara splittrade. Inte nu, när vi är så nära."
Text/ee/text,Vårt mål är enkelt: avslöja sanningen. Låt folket bestämma vad som händer härnäst.
Text/ef/text,Ledaren vänder sig för att tala direkt till dig. Men vi behöver veta [color=YELLOW]var du står[/color].
Text/f0/text,Om tre dagar kommer våra agenter att närma sig din kontrollpunkt. De kommer att bära [color=CHARTREUSE]blå identifikationskort[/color].
Text/f1/text,Kommer du att hjälpa dem korsa? Ditt svar nu kommer att avgöra vårt nästa drag.
Choice/f2/text,Jag ska hjälpa dem korsa. För Spuds framtid.
Choice/f3/text,"Jag kan inte vara direkt inblandad, men jag kommer att titta åt ett annat håll."
Choice/f4/text,Jag behöver mer tid att tänka på detta.
Text/f5/text,Ledaren griper tag i din axel med fast hand. [color=CHARTREUSE]Ditt mod hedrar oss alla.[/color]
Text/f6/text,"På den tredje dagen, när solen står som högst, kommer våra agenter."
Text/f7/text,"Lösenordet är ""[wave amp=15 freq=3][color=CHARTREUSE]Rötterna växer djupt.[/color][/wave]"" Kom ihåg det."
Text/f8/text,"Ledaren nickar långsamt, uppenbart besviken men förstående."
Text/f9/text,Ibland är det mesta vi kan be om att folk inte står i vägen för oss.
Text/fa/text,Våra agenter kommer att fortsätta som planerat. Bara... utlös inte larmet.
Text/fb/text,Ledarens uttryck hårdnar. [color=YELLOW]Tid är en lyx vi inte har.[/color]
Text/fc/text,Men att tvinga någon att ansluta sig till vår sak gör oss inte bättre än dem.
Text/fd/text,Vi kommer att fortsätta utan att räkna med din hjälp. Sök i ditt samvete.
Text/fe/text,När mötet bryts upp går Sasha med dig tillbaka mot kontrollpunkten.
Text/ff/text,Vad som än händer... tack för allt du har gjort.
Text/100/text,"Du återvänder till dina kvarter vid kontrollpunkten, ditt sinne rusar med tyngden av kommande händelser."
Text/101/text,På bara tre dagar skulle allt kunna förändras. [color=YELLOW]Till det bättre eller sämre.[/color]
Choice/de/disabled_text,
Choice/f4/disabled_text,
Choice/f3/disabled_text,
Choice/f2/disabled_text,
Choice/e0/disabled_text,
Choice/df/disabled_text,
