keys,th
Text/156/text,ยินดีต้อนรับสู่ [pulse freq=2][color=MEDIUM_VIOLET_RED]สปัดคัสตอมส์![/color][/pulse]
Text/157/text,การฝึกอบรมนี้จะสอนคุณถึง [wave amp=15 freq=2][color=DARK_ORANGE]ทักษะที่จำเป็น[/color][/wave] ในการปกป้องพรมแดนของสปัด
Text/158/text,คุณได้รับเลือกให้ปฏิบัติหน้าที่สำคัญ: [color=DARK_ORANGE]เจ้าหน้าที่ศุลกากรชายแดน[/color]
Text/159/text,มันฝรั่งผู้ย้ายถิ่นฐานจะมาเข้าแถวรอด้านนอกสำนักงานของคุณที่นี่
Text/15a/text,ในการเริ่มดำเนินการตรวจสอบมันฝรั่ง คุณต้องเปิดบูธของคุณเพื่อให้บริการด้วยสวิตช์ที่นี่
Text/15b/text,คุณจะต้องส่งสัญญาณให้มันฝรั่งแต่ละตัวเข้ามายังสำนักงานของคุณโดยการแตะที่โทรโข่ง
Text/15c/text,มันฝรั่งจะเข้ามาในบูธทีละตัวและยื่นเอกสารของพวกมัน
Text/15d/text,ขั้นแรก ย้ายเอกสารของพวกมันไปยังโต๊ะตรวจสอบเพื่อตรวจสอบให้ละเอียดขึ้น
Text/15e/text,"จากนั้น มองหา [tornado radius=3 freq=2][color=YELLOW]วันหมดอายุ, ข้อมูลที่ไม่ถูกต้อง, หรือร่องรอยการปลอมแปลง[/color][/tornado]"
Text/15f/text,โต๊ะทำงานของคุณมีตราประทับสำหรับทำเครื่องหมายเอกสาร คุณสามารถคลิกที่นี่เพื่อดึงแถบตราประทับออกมา
Text/160/text,จากนั้นวางเอกสารใต้ตราประทับที่คุณต้องการ...
Text/161/text,คลิกที่ตราประทับเพื่อทำเครื่องหมายเอกสารว่า [color=CHARTREUSE]อนุมัติ[/color] หรือ [color=CRIMSON]ปฏิเสธ[/color]...
Text/162/text,และลากเอกสารกลับไปให้มันฝรั่งเพื่อสรุปการตัดสินใจของคุณ!
Text/163/text,บางครั้ง มันฝรั่งจะพยายาม [color=CRIMSON]วิ่งผ่านจุดตรวจของคุณ[/color]
Text/164/text,คุณมีการเชื่อมโยงโดยตรงในบูธของคุณ ซึ่งช่วยให้คุณควบคุม [pulse freq=3][color=CRIMSON]เครื่องยิงขีปนาวุธ[/color][/pulse] ตามแนวกำแพงชายแดน
Text/165/text,"คลิกที่ ""ผู้หลบหนี"" เหล่านี้เพื่อยิงขีปนาวุธและหยุดพวกมัน"
Text/166/text,โปรดจำไว้ว่า ผู้หลบหนีแต่ละตัวที่ผ่านไปได้จะนับเป็นการ [wave amp=20 freq=3][color=CRIMSON]ลงโทษคุณ[/color][/wave]
Text/167/text,หากมีการลงโทษมากเกินไป กะของคุณจะสิ้นสุดลง... [tornado radius=3 freq=3][color=CRIMSON]อย่างถาวร.[/color][/tornado]
Text/168/text,แต่ละกะมี [color=DARK_ORANGE]โควตาของมันฝรั่ง[/color] ที่คุณต้องดำเนินการตรวจสอบให้เสร็จสิ้นในแต่ละวัน
Text/169/text,คะแนนของคุณจะบันทึกผลงานของคุณเมื่อเทียบกับเพื่อนเจ้าหน้าที่ที่จุดตรวจนี้ และเจ้าหน้าที่ในสำนักงานศุลกากรที่ห่างไกล
Text/16a/text,หลังจากแต่ละกะ คุณจะเห็นสรุปผลงานของคุณ และว่าคุณประสบความสำเร็จหรือล้มเหลวในการปฏิบัติหน้าที่
Text/16b/text,คุณจะเห็นรายละเอียดว่าคุณจัดการกับผู้หลบหนีอย่างไร และจำนวนเอกสารที่คุณดำเนินการตรวจสอบ
Text/16c/text,"รวมถึงโบนัสที่คุณได้รับจากการดำเนินการตรวจสอบเอกสารอย่างรวดเร็ว, ประทับตราได้อย่างสมบูรณ์แบบ, หรือยิงมันฝรั่งผู้หลบหนีได้อย่างแม่นยำ"
Text/16d/text,คุณจะได้รับคะแนนผลงานด้วย โดยอิงจากความสามารถในการดำเนินการตรวจสอบมันฝรั่งระหว่างกะของคุณ และตราประทับทองคำสูงสุด 3 ดวง หากคุณทำได้เกินความคาดหมาย
Text/16e/text,ที่นี่คุณสามารถส่งคะแนนของคุณในแต่ละกะไปยังฐานข้อมูลทั่วโลกของเจ้าหน้าที่ศุลกากร และดูว่าคุณเปรียบเทียบกับเจ้าหน้าที่ศุลกากรชั้นยอดที่สุดทั่วโลกได้อย่างไร
Text/16f/text,"หากกะของคุณสำเร็จ คุณจะสามารถดำเนินการต่อได้โดยคลิก ""ดำเนินการต่อ"" และเริ่มกะถัดไปของคุณ"
Text/170/text,งานของคุณง่ายมาก มันฝรั่งจะมาถึงบูธของคุณ คุณตรวจสอบเอกสารของพวกเขา และคุณตัดสินใจว่าใครจะผ่านไปได้
Text/171/text,ฉันจะแนะนำพื้นฐานให้คุณ[color=YELLOW]ทีละขั้นตอน[/color] ทำตามคำแนะนำแล้วคุณจะเข้าใจมันเอง
Text/172/text,ความปลอดภัยและความมั่นคงของสปัดขึ้นอยู่กับ[pulse freq=2][color=DARK_ORANGE]ความระมัดระวังของคุณ![/color][/pulse]
Text/174/text,มาเริ่ม[color=YELLOW]กะฝึกอบรม[/color]ของคุณกันเถอะ...
Text/180/text,แต่ระวังให้ดี - ไม่ใช่มันฝรั่งทุกหัวที่มีเอกสารเรียบร้อย
Text/181/text,[color=RED]หนังสือเดินทางหมดอายุ[/color]จะถูกปฏิเสธโดยอัตโนมัติ ไม่มีข้อยกเว้น
