keys,th
dialogue_spud_being_called_1,หัวมันท่านต่อไป ชะตาของคุณกำลังรออยู่
dialogue_spud_being_called_2,ผู้ที่อยู่หน้าสุดของแถว ช่วงเวลาแห่งความจริงกำลังใกล้เข้ามา
dialogue_spud_being_called_3,ก้าวออกมาข้างหน้า ผู้ถูกเลือกแห่งเผ่าพันธุ์หัวมัน
dialogue_spud_being_called_4,ยินดีด้วย! การรอคอยของคุณสำเร็จแล้ว
dialogue_spud_being_called_5,ระบบราชการมันฝรั่งอันยิ่งใหญ่เรียกตัวคุณ
dialogue_spud_being_called_6,เชิญ หัวมันผู้สูงศักดิ์! เอกสารกำลังรออยู่!
dialogue_spud_being_called_7,ก้าวไปข้างหน้า! ตราประทับเริ่มกระสับกระส่าย
dialogue_spud_being_called_8,รีบหน่อย! แบบฟอร์ม P-38B ต้องกรอกแล้ว
dialogue_spud_being_called_9,เชิญเข้ามา โชคชะตาต้องการให้คุณเข้ามา
dialogue_spud_being_called_10,หัวมันเอ๋ย จงเข้ามาที่เคาน์เตอร์แห่งการตัดสิน
dialogue_spud_in_office_1,โปรดอดทน เวลาเป็นเพียงภาพลวงตา
dialogue_spud_in_office_2,การรอคอยสร้างลักษณะนิสัย และแป้ง
dialogue_spud_in_office_3,แถวเคลื่อนที่ไปอย่างลึกลับ
dialogue_spud_in_office_4,ตำแหน่งของคุณถูกบันทึกไว้โดยเจ้าหน้าที่
dialogue_spud_in_office_5,การยืนรอในแถว: ค่าคงที่สากล
dialogue_spud_in_office_6,ไม่มีหัวมันใดพร้อม จนกว่าจะถูกปรุงรสด้วยการรอคอย
dialogue_spud_in_office_7,ความอดทน: ไม่ใช่คุณธรรมเดียว แต่ถูกระบุไว้
dialogue_spud_in_office_8,กลไกราชการหมุนช้า ช้ามาก
dialogue_spud_in_office_9,อ้า เสียงอันไพเราะของขั้นตอน!
dialogue_spud_in_office_10,แถวของวันนี้คือเรื่องเล่าขานของวันพรุ่งนี้
dialogue_spud_in_office_11,เวลาในแถวบิดเบี้ยว มันถูกวัดแล้ว
dialogue_spud_in_office_12,ทักษะการรอคอย: บรรลุเลเวล 43 แล้ว!
dialogue_warnings_1,ผู้ที่ต่อต้านจะถูกปอกเปลือกอย่างแม่นยำ
dialogue_warnings_2,ผู้ที่แซงคิวจะถูกส่งไปดำเนินการด่วน
dialogue_warnings_3,การก่อกวนแถวจะได้รับบทเรียนเรื่องแถว
dialogue_warnings_4,การขัดคำสั่งนำไปสู่ห้องน้ำมันร้อน.
dialogue_warnings_5,เราไม่จำเป็นต้องยุติธรรม แค่ต้องเป็นระเบียบ.
dialogue_warnings_6,คณะกรรมการตรวจสอบมันฝรั่งมองเห็นทุกสิ่ง.
dialogue_warnings_7,พวกก่อปัญหา: จะถูกบดละเอียดไร้เนย.
dialogue_warnings_8,ผู้ก่อความวุ่นวายจะกลายเป็นแฮชบราวน์ อย่างรวดเร็ว.
dialogue_warnings_9,ผู้ฝ่าฝืนกฎจะต้องเผชิญสถานะมันฝรั่งอบสองครั้ง.
dialogue_warnings_10,ผู้ตรวจสอบคิวได้ทำเครื่องหมายการมีอยู่ของคุณแล้ว.
dialogue_warnings_11,ไฟล์ของคุณ: ถูกประทับตราสีแดง.
dialogue_misc_1,ทุกคนหายไปไหน?
dialogue_misc_2,เหตุฉุกเฉิน? โปรดรอต่อไปตามลำดับ.
dialogue_misc_3,ได้อ่านวรรคเจ็ดของข้อตกลงการรอแล้วหรือยัง?
dialogue_misc_4,"ของหาย: พบแล้ว, ถูกเก็บภาษี, วางผิดที่."
dialogue_misc_5,หากมันฝรั่งบ่น มันจะส่งเสียงหรือไม่?
dialogue_misc_6,แสงถูกแทนที่ด้วยป้าย: 'อุโมงค์เพิ่ม.'
dialogue_misc_7,ความตายเป็นเพียงชั่วคราว ระบบราชการต่างหากที่คงอยู่ตลอดไป.
dialogue_misc_8,ระบบจัดเก็บเอกสารมีสติปัญญาแล้ว. ใจเย็นไว้.
dialogue_misc_9,เลขนำโชควันนี้ไม่มีความหมาย. ขออภัย.
dialogue_misc_10,"วันสิ้นโลก? รับบัตรคิว, รอเพื่อหายไป."
dialogue_misc_11,ไม่มีหลักฐานหมายถึงต้องใช้แบบฟอร์มเพิ่ม.
dialogue_document_interaction_1,โปรดรับเอกสารของคุณ.
dialogue_document_interaction_2,รับไปเดี๋ยวนี้!
