keys,tr
achievement_unlocked_title,BAŞARIM KİLİDİ AÇILDI!
achievements_menu_button,Başarımlar
achievements_progress_format,%d / %d Açıldı
achievement_hidden_name,???
achievement_hidden_desc,"Bu başarım, kilidi açılana kadar gizlidir"
achievement_category_gameplay,Oynanış
achievement_category_resistance,Direniş Yolu
achievement_category_loyalist,Sadıklar Yolu
achievement_category_character,Karakter Hikayeleri
achievement_category_discovery,Keşif
achievement_rookie_officer_name,Çaylak Memur
achievement_rookie_officer_desc,Sınırda ilk vardiyanı tamamla
achievement_veteran_officer_name,Gümrük Kıdemlisi
achievement_veteran_officer_desc,Sınırda 10 vardiya tamamla
achievement_master_officer_name,Gümrük Ustası
achievement_master_officer_desc,Sınırda 25 vardiya tamamla
achievement_sharpshooter_name,Keskin Nişancı
achievement_sharpshooter_desc,Füze sistemiyle 10 sınır kaçkınını durdur
achievement_border_defender_name,Sınır Savunucusu
achievement_border_defender_desc,Füze sistemiyle 50 sınır kaçkınını durdur
achievement_perfect_shot_name,Mükemmel Atış
achievement_perfect_shot_desc,Sınır kaçkınlarına 5 mükemmel isabet kaydet
achievement_high_scorer_name,Rekortmen
achievement_high_scorer_desc,10 puanlık bir skor elde et
achievement_score_legend_name,Skor Efsanesi
achievement_score_legend_desc,50 puanlık bir skor elde et
achievement_savior_of_spud_name,Spud'un Kurtarıcısı
achievement_savior_of_spud_desc,Hikayeyi tamamla ve ulusu kurtar
achievement_born_diplomat_name,Doğuştan Diplomat
achievement_born_diplomat_desc,Barışçıl müzakereler yoluyla diplomatik sona ulaş
achievement_tater_of_justice_name,Adaletin Patatesi
achievement_tater_of_justice_desc,Yozlaşmış yetkililere adaleti getir
achievement_best_served_hot_name,Sıcak Servis Edilir
achievement_best_served_hot_desc,Sana yanlış yapanlardan intikamını al
achievement_down_with_tatriarchy_name,Kahrolsun Patates Erki
achievement_down_with_tatriarchy_desc,Devrime öncülük et ve rejimi devir
achievement_heart_of_stone_name,Taş Kalp
achievement_heart_of_stone_desc,Sonuna kadar soğuk ve itaatkar bir bürokrat olarak kal
achievement_survivor_name,Hayatta Kalan
achievement_survivor_desc,Rejimden hayatta kalmak için ne gerekiyorsa yap
achievement_late_bloomer_name,Geç Açan
achievement_late_bloomer_desc,En son anda kefaretini bul
achievement_tommys_legacy_name,Tommy'nin Mirası
achievement_tommys_legacy_desc,Tommy'nin kaderi hakkındaki gerçeği ortaya çıkar
achievement_elenas_memory_name,Elena'nın Anısı
achievement_elenas_memory_desc,Elena'nın fedakarlığını onurlandır ve hikayesini hatırla
achievement_the_note_name,Not
achievement_the_note_desc,Gizli notu ve gizli mesajını keşfet
achievement_root_of_evil_name,Kötülüğün Kökü
achievement_root_of_evil_desc,Rejimin kalbindeki yolsuzluğu ifşa et
achievement_chaos_architect_name,Kaos Mimarı
achievement_chaos_architect_desc,Kaosu kucakla ve dünyanın yanışını izle
