keys,it
main_menu_feedback,Feedback e bug
main_menu_version,Versione 1.2.0
main_menu_new_game,Nuova partita
main_menu_continue,Continua
main_menu_level_select,Selezione livello
main_menu_score_attack,Attacco punteggio
main_menu_options,Opzioni
main_menu_credits,Crediti
main_menu_exit,Esci
select_language,Lingua
social_discord_tooltip,Unisciti al nostro Discord!
social_steam_tooltip,Visitaci su Steam
social_twitch_tooltip,Integrazione Twitch
twitch_status_disabled,Disabilitato
twitch_status_no_viewers,Nessuno spettatore nel pool
twitch_status_ready,{count} spettatori pronti
twitch_connection_disabled,Disabilitato
twitch_connection_disconnected,Disconnesso
twitch_connection_connected,Connesso
twitch_connection_connecting,Connessione...
options_menu_title,Opzioni
options_difficulty,Difficoltà
options_difficulty_easy,Facile
options_difficulty_normal,Normale
options_difficulty_expert,Esperto
options_music_volume,Volume musica
options_sfx_volume,Volume effetti sonori
options_camera_shake,Vibrazione camera
options_back,Indietro
paused_menu_title,In pausa
shift_summary_title,RIEPILOGO TURNO
shift_summary_continue,Continua
shift_summary_restart,Ricomincia
shift_summary_main_menu,Menu principale
shift_summary_submit_score,Invia punteggio
shift_summary_runner_stats,STATISTICHE CORRIDORE
shift_summary_document_stats,STATISTICHE DOCUMENTO
shift_summary_performance,PRESTAZIONI
shift_summary_bonuses,BONUS
_FORMAT KEYS,
time_format,{minutes}min {seconds}sec
_SHIFT SUMMARY DETAILS,
shift_complete_success,TURNO {shift} COMPLETATO\nSUCCESSO!
shift_complete_failure,TURNO {shift} COMPLETATO\n{failure}
strike_limit_reached,LIMITE SCIOPERO RAGGIUNTO!
quota_not_met,QUOTA NON RAGGIUNTA!
shift_summary_title_with_difficulty,RIEPILOGO TURNO\n{difficulty}
runner_stats_template,\nSTATISTICHE CORRIDORE\nTentativi corridore: {runner_attempts}\nMissili lanciati: {fired}\nCorridori colpiti: {hit}\nColpi perfetti: {perfect}\nTasso di successo: {rate}%
document_stats_template,STATISTICHE DOCUMENTO\nDocumenti timbrati: {stamped}\nPatate approvate: {approved}\nPatate respinte: {rejected}\nTimbri perfetti: {perfect_stamps}
