keys,bg
main_menu_feedback,Обратна връзка и грешки
main_menu_version,Версия 1.2.0
main_menu_new_game,Нова игра
main_menu_continue,Продължи
main_menu_level_select,Избор на ниво
main_menu_score_attack,Атака за резултат
main_menu_options,Настройки
main_menu_credits,Кредити
main_menu_exit,Изход
select_language,Език
social_discord_tooltip,Присъединете се към нашия Discord!
social_steam_tooltip,Посетете ни в Steam
social_twitch_tooltip,Twitch интеграция
twitch_status_disabled,Изключено
twitch_status_no_viewers,Няма зрители в пула
twitch_status_ready,{count} зрители готови
twitch_connection_disabled,Изключено
twitch_connection_disconnected,Прекъсната връзка
twitch_connection_connected,Свързано
twitch_connection_connecting,Свързване...
options_menu_title,Настройки
options_difficulty,Трудност
options_difficulty_easy,Лесно
options_difficulty_normal,Нормално
options_difficulty_expert,Експертно
options_music_volume,Сила на музиката
options_sfx_volume,Сила на звуковите ефекти
options_camera_shake,Трус на камерата
options_back,Назад
paused_menu_title,Пауза
shift_summary_title,ОБОБЩЕНИЕ НА СМЕНАТА
shift_summary_continue,Продължи
shift_summary_restart,Рестартирай
shift_summary_main_menu,Главно меню
shift_summary_submit_score,Изпрати резултат
shift_summary_runner_stats,СТАТИСТИКА ЗА БЕГЪЛЦИ
shift_summary_document_stats,СТАТИСТИКА ЗА ДОКУМЕНТИ
shift_summary_performance,ИЗПЪЛНЕНИЕ
shift_summary_bonuses,БОНУСИ
time_format,{minutes}м {seconds}с
shift_complete_success,СМЯНА {shift} ЗАВЪРШЕНА\nУСПЕХ!
shift_complete_failure,СМЯНА {shift} ЗАВЪРШЕНА\n{failure}
strike_limit_reached,ДОСТИГНАТ ЛИМИТ НА НАКАЗАНИЯ!
quota_not_met,КВОТАТА НЕ Е ИЗПЪЛНЕНА!
shift_summary_title_with_difficulty,ОБОБЩЕНИЕ НА СМЕНАТА\n{difficulty}
runner_stats_template,\nСТАТИСТИКА ЗА БЕГЪЛЦИ\nОпити за бягство: {runner_attempts}\nИзстреляни ракети: {fired}\nПоразени бегълци: {hit}\nПерфектни попадения: {perfect}\nПроцент на попадения: {rate}%
document_stats_template,\nСТАТИСТИКА ЗА ДОКУМЕНТИ\nПодпечатани документи: {stamped}\nОдобрени картофи: {approved}\nОтхвърлени картофи: {rejected}\nПерфектни печати: {perfect_stamps}
bonus_stats_template,БОНУСИ\nБонус за скорост на обработка: {processing_speed_bonus}\nБонус за точност на печата: {accuracy}\nБонус за перфектни попадения: {perfect_hit_bonus}\nОбщ бонус за резултат: {total_score_bonus}
performance_stats_template,\nИЗПЪЛНЕНИЕ\nИзминало време: {time_taken}\nОчакван резултат: {expected_score}\nОбщ резултат: {score}\nПроцент над очаквания резултат: {percent}%\nОценка на изпълнението:\n{rating}
performance_exceptional,Изключително!
performance_excellent,Отлично!
performance_good,Добро
performance_needs_improvement,Нуждае се от подобрение
performance_poor,Лошо
global_leaderboard_title,Глобална класация\n- {difficulty}
getting_leaderboard_scores,Зареждане на резултати от класацията...
reset_game_label,Рестартиране на играта :
reset_game_button,Рестартиране
mute_label,Без звук
fullscreen_label,Цял екран :
resolution_label,Резолюция :
antialiasing_label,Изглаждане на ръбове :
screenshake_label,Разклащане на екрана :
mouse_sens_label,Чувствителност на мишката :
Loading…,Зареждане...
You lose.,Загубихте.
You won!,Спечелихте!
Thanks for playing!,"Благодарим ви, че играхте!"
Please Confirm...,"Моля, потвърдете..."
Go back to main menu?,Да се върнете в главното меню?
Quit the game?,Да излезете от играта?
Cancel,Отказ
OK,OK
Controls,Контроли
Mouse Sensitivity :,Mouse Sensitivity :
Actions & Inputs,Действия и входове
Add,Add
Remove,Премахни
Assign Key for {action},Присвои клавиш за {action}
Listening for input...,Изчаквам въвеждане...
Press again to confirm...,Натисни отново за потвърждение...
Focus here to assign inputs.,"Фокусирай тук, за да присвоиш въвеждания."
Already Assigned,Вече присвоено
{key} already assigned to {action}.,{key} вече присвоено на {action}.
Remove Key for {action},Премахни клавиш за {action}
Are you sure you want to remove {key} from {action}?,"Сигурни ли сте, че искате да премахнете {key} от {action}?"
Reset,Нулиране
Audio,Аудио
Master :,Master :
Music :,Music :
SFX :,SFX :
Ambient :,Ambient :
Mute :,Mute :
Video,Видео
Fullscreen :,Fullscreen :
Resolution :,Resolution :
Anti-Aliasing :,Anti-Aliasing :
Disabled (Fastest),Изключено (Най-бързо)
8x (Slowest),8x (Най-бавно)
Camera Shake :,Camera Shake :
Normal,Нормално
Reduced,Намалено
Minimal,Минимално
None,Няма
Game,Игра
Reset Game :,Reset Game :
Do you want to reset your game data?,Искате ли да нулирате данните си от играта?
Back,Назад
TAKE THEM!,ХВАНЕТЕ ГИ!
"Take your documents, please.","Вземете си документите, моля."
Continue,Продължи
Main Menu,Главно меню
