keys,fi
alert_border_runner,RAJARIKOLLINEN HAVAITTU!\nKlikkaa lähettääksesi ohjuksen!
alert_rejected_fleeing,HYLÄTTY PERUNA PAKENEE!\nKlikkaa lähettääksesi ohjuksen!
alert_runner_escaped,PAKOLAINEN KARANNUT!\nIsku lisätty!
citation_runner_escaped,Rajankävijä pakeni! Et ehtinyt pysäyttää häntä ajoissa.
alert_points_deducted,PAKOLAINEN KARANNUT!\nIsku lisätty!\n-{penalty} pistettä!
alert_perfect_hit,TÄYDELLINEN OSUMA! +{perfect} tarkkuusbonus pistettä
alert_perfect_stamp,TÄYDELLINEN LEIMA! +{points} pistettä!
alert_combo,YHDISTELMÄ x{mult}! +{streak} yhdistelmäbonus pistettä
alert_quota_met,"Kiintiö täytetty, vuoro suoritettu! \nBonus: {bonus} pistettä!"
alert_strike_removed,Isku poistettu!
alert_correct_decision,"Teit oikean valinnan, poliisi.\n+{points} pistettä!"
alert_wrong_decision,"Olet aiheuttanut tarpeetonta kärsimystä, poliisi...\n+1 Isku!"
alert_potato_should_be_approved,\nTämä peruna täyttää kaikki vaatimukset ja olisi pitänyt hyväksyä.
incorrect_decision,Virheellinen päätös asiakirjan käsittelyssä.
alert_strike_out,Enimmäisiskut ylitetty! Vuorosi on ohi.
ui_score,Pisteet: {score}
ui_quota,Kiintiö: {current} / {target}
ui_strikes,Iskut: {current} / {max}
ui_click_megaphone,Klikkaa megafonia kutsuaksesi seuraavan perunan
ui_drag_document,Vedä dokumentti tarkastuspöydälle
ui_stamp_document,Valitse leima hyväksyäksesi tai hylätäksesi
ui_check_violations,Tarkista dokumentin rikkomukset
Strike removed!,Isku poistettu!
BORDER RUNNER DETECTED!\nClick to launch missile!,RAJARIKOLLINEN HAVAITTU!\nKlikkaa lähettääksesi ohjuksen!
REJECTED POTATO FLEEING!\nClick to launch missile!,HYLÄTTY PERUNA PAKENEE!\nKlikkaa lähettääksesi ohjuksen!
RUNNER ESCAPED!\nStrike added!,PAKOLAINEN KARANNUT!\nIsku lisätty!
Click megaphone to call the next potato,Klikkaa megafonia kutsuaksesi seuraavan perunan
Drag document to inspection table,Vedä dokumentti tarkastuspöydälle
Select a stamp to approve or reject,Valitse leima hyväksyäksesi tai hylätäksesi
Check for document violations,Tarkista dokumentin rikkomukset
rule_explanation_header,SÄÄNNÖN SELITYS:
rule_explanation_fresh,Katso 'Kunto' kenttää. Jos se sanoo jotain muuta kuin 'Tuore' - HYLKÄÄ
rule_explanation_sweet_potato,Katso 'Tyyppi' kenttää. Jos se sanoo 'Bataatti' - HYLKÄÄ (ei lupia)
rule_explanation_chip_hill,Katso 'Maa' kenttää. Jos se sanoo 'Chip Hill' - HYLKÄÄ (kielletty)
rule_explanation_age,Katso 'Syntymäaika' kenttää. Laske ikä ja tarkista sääntöä vastaan
rule_explanation_gender,Katso 'Sukupuoli' kenttää ja tarkista nykyistä sääntöä vastaan
rule_footer_text,Nämä säännöt on pakko panna täytäntöön KAIKILLE perunoille
rule_expired_note,Vanhentuneet asiakirjat on AINA hylättävä.
rule_tutorial_hint,Tarvitsetko apua? Napsauta mitä tahansa sääntöä selitystä varten
alert_correct_decision_detailed,OIKEA PÄÄTÖS! +{points} pistettä\n{reason}
alert_wrong_decision_detailed,VÄÄRÄ PÄÄTÖS! Isku lisätty!\n{reason}
alert_reason_approved,Peruna täyttää kaikki vaatimukset - HYVÄKSYTTY
alert_reason_should_reject,Sinun olisi pitänyt HYLÄTÄ tämä peruna
tutorial_check_type,Tarkista passin 'Tyyppi' kenttä
tutorial_check_condition,Tarkista passin 'Kunto' kenttä
tutorial_check_country,Tarkista passin 'Maa' kenttä
tutorial_check_age,Tarkista 'Syntymäaika' iän laskemiseksi
tutorial_check_gender,Tarkista passin 'Sukupuoli' kenttä
alert_streak_bonus_minigame,5 peräkkäin! BONUS MINIPELI!
alert_perfect_stamps_bonus_minigame,Täydelliset leimat! BONUS MINIPELI!
alert_runner_bonus_minigame,Epäilyttävää toimintaa! BONUS MINIPELI!
alert_new_minigame_unlocked,Uusi minipeli avattu: {name}!
alert_minigame_bonus,Minipelin bonus: +{bonus} pistettä!
high_score_display,Ennätys: {score}
new_high_score,UUSI ENNÄTYS!
month_1,Tammikuu
citation_trash_label,ROSKAKORI
citation_header,VIRALLINEN HUOMAUTUS
citation_from_supervisor,Lähettäjä: Esimies Russet
citation_dismiss_hint,[Vedä roskakoriin hylätäksesi]
