keys,el
main_menu_feedback,Σχόλια και Σφάλματα
main_menu_version,Έκδοση 1.2.0
main_menu_new_game,Νέο Παιχνίδι
main_menu_continue,Συνέχεια
main_menu_level_select,Επιλογή Επιπέδου
main_menu_score_attack,Επίθεση Βαθμολογίας
main_menu_options,Επιλογές
main_menu_credits,Συντελεστές
main_menu_exit,Έξοδος
select_language,Γλώσσα
social_discord_tooltip,Ελάτε στο Discord μας!
social_steam_tooltip,Επισκεφθείτε μας στο Steam
social_twitch_tooltip,Ενσωμάτωση Twitch
twitch_status_disabled,Απενεργοποιημένο
twitch_status_no_viewers,Δεν υπάρχουν θεατές διαθέσιμοι
twitch_status_ready,{count} θεατές έτοιμοι
twitch_connection_disabled,Απενεργοποιημένη
twitch_connection_disconnected,Αποσυνδεδεμένη
twitch_connection_connected,Συνδεδεμένη
twitch_connection_connecting,Συνδέεται...
options_menu_title,Επιλογές
options_difficulty,Δυσκολία
options_difficulty_easy,Εύκολο
options_difficulty_normal,Κανονικό
options_difficulty_expert,Ειδικό
options_music_volume,Ένταση Μουσικής
options_sfx_volume,Ένταση Ηχητικών Εφέ
options_camera_shake,Κούνημα Κάμερας
options_back,Πίσω
paused_menu_title,Παύση
shift_summary_title,ΣΥΝΟΨΗ ΒΑΡΔΙΑΣ
shift_summary_continue,Συνέχεια
shift_summary_restart,Επανεκκίνηση
shift_summary_main_menu,Κύριο Μενού
shift_summary_submit_score,Υποβολή Βαθμολογίας
shift_summary_runner_stats,ΣΤΑΤΙΣΤΙΚΑ ΔΡΑΠΕΤΩΝ
shift_summary_document_stats,ΣΤΑΤΙΣΤΙΚΑ ΕΓΓΡΑΦΩΝ
shift_summary_performance,ΑΠΟΔΟΣΗ
shift_summary_bonuses,ΜΠΟΝΟΥΣ
time_format,{minutes}λ {seconds}δ
shift_complete_success,ΒΑΡΔΙΑ {shift} ΟΛΟΚΛΗΡΩΘΗΚΕ\nΕΠΙΤΥΧΙΑ!
shift_complete_failure,ΒΑΡΔΙΑ {shift} ΟΛΟΚΛΗΡΩΘΗΚΕ\n{failure}
strike_limit_reached,ΟΡΙΟ ΠΟΙΝΩΝ ΕΦΤΑΣΕ!
quota_not_met,Η ΠΟΣΟΣΤΩΣΗ ΔΕΝ ΕΠΙΤΕΥΧΘΗΚΕ!
shift_summary_title_with_difficulty,ΣΥΝΟΨΗ ΒΑΡΔΙΑΣ\n{difficulty}
runner_stats_template,\nΣΤΑΤΙΣΤΙΚΑ ΔΡΑΠΕΤΩΝ\nΠροσπάθειες Δραπετών: {runner_attempts}\nΕκτοξευθέντες Πύραυλοι: {fired}\nΔραπέτες που Χτυπήθηκαν: {hit}\nΤέλειες Βολές: {perfect}\nΠοσοστό Επιτυχίας: {rate}%
document_stats_template,\nΣΤΑΤΙΣΤΙΚΑ ΕΓΓΡΑΦΩΝ\nΈγγραφα που Σφραγίστηκαν: {stamped}\nΠατάτες που Εγκρίθηκαν: {approved}\nΠατάτες που Απορρίφθηκαν: {rejected}\nΤέλειες Σφραγίδες: {perfect_stamps}
bonus_stats_template,ΜΠΟΝΟΥΣ\nΜπόνους Ταχύτητας Επεξεργασίας: {processing_speed_bonus}\nΜπόνους Ακρίβειας Σφραγίδας: {accuracy}\nΜπόνους Τέλειων Βολών: {perfect_hit_bonus}\nΣυνολικό Μπόνους Βαθμολογίας: {total_score_bonus}
