keys,ro
dialogue_spud_being_called_1,"Următorul pas, destinul tău te așteaptă."
dialogue_spud_being_called_2,"În fruntea cozii, momentul adevărului se apropie."
dialogue_spud_being_called_3,"Înaintează, alesul neamului de tuberculi."
dialogue_spud_being_called_4,Felicitări! Așteptarea ta a avut succes.
dialogue_spud_being_called_5,Marea Birocrație a Cartofilor te convoacă.
dialogue_spud_being_called_6,"Înainte, nobilule tubercul! Hârtiile te așteaptă!"
dialogue_spud_being_called_7,Mișcă-te! Ștampila devine nerăbdătoare.
dialogue_spud_being_called_8,Mișcă-te rapid! Formularul P-38B necesită completare.
dialogue_spud_being_called_9,"Vino înainte, destinul îți cere intrarea."
dialogue_spud_being_called_10,"Apropie-te de ghișeul judecății, tubercul."
dialogue_spud_in_office_1,"Te rog, fii răbdător. Timpul este o iluzie."
dialogue_spud_in_office_2,Așteptarea construiește caracter. Și amidon.
dialogue_spud_in_office_3,Coada se mișcă în moduri misterioase.
dialogue_spud_in_office_4,Poziția ta este notată de autorități.
dialogue_spud_in_office_5,Stat la coadă: constanta universală.
dialogue_spud_in_office_6,Nici un tubercul nu este gata înainte de a fi condimentat prin așteptare.
dialogue_spud_in_office_7,"Răbdarea: nu singura virtute, dar menționată."
dialogue_spud_in_office_8,Roțile birocratice se învârt încet. Foarte încet.
dialogue_spud_in_office_9,"Ah, dulcele sunet al procedurii!"
dialogue_spud_in_office_10,Coada zilei deazi este anecdota de mâine.
dialogue_spud_in_office_11,Timpul în cozi se îndoaie. A fost măsurat.
dialogue_spud_in_office_12,Abilitatea de așteptare: Nivel 43 atins!
dialogue_warnings_1,Cei care se opun vor fi curățați cu precizie.
dialogue_warnings_2,Cei care calcă în picioare coada sunt trimiși la Procesare Expres.
dialogue_warnings_3,Întreruperea cozii declanșează prelegeri despre cozi.
dialogue_warnings_4,Insubordinarea duce la Camera cu Ulei Fierbinte.
dialogue_warnings_5,"Nu trebuie să fim corecți, doar organizați."
dialogue_warnings_6,Comitetul de Conformitate a Cartofilor vede totul.
dialogue_warnings_7,Deranjatorii: zdrobiți fără unt.
dialogue_warnings_8,Creatorii de haos devin cartofi prăjiți. Rapid.
dialogue_warnings_9,Încălcătorii de regulă întâlnesc statutul de dublu prăjit.
dialogue_warnings_10,Auditorii Cozii ți-au marcat existența.
dialogue_warnings_11,Dosarul tău: marcat cu ștampila ROȘIE.
dialogue_misc_1,Unde sunt toți?
dialogue_misc_2,Urgență? Continuă să aștepți în ordine.
dialogue_misc_3,Ai citit paragraful șapte din acordul de așteptare?
dialogue_misc_4,"Proprietate pierdută: găsită, impozitată, rătăcită."
dialogue_misc_5,"Dacă un cartof reclamă, face vreun sunet?"
dialogue_misc_6,Lumina înlocuită cu un panou: 'Mai mult Tunel.'
dialogue_misc_7,Moartea este temporară. Birocrația este eternă.
dialogue_misc_8,Sistemul de arhivare a atins conștiința. Rămâi calm.
dialogue_misc_9,Numerele norocoase ale zilei nu înseamnă nimic. Scuze.
dialogue_misc_10,"Apocalipsă? Ia un număr, așteaptă să dispari."
dialogue_misc_11,Fără dovezi înseamnă mai multe formulare.
dialogue_document_interaction_1,"Ia-ți documentele, te rog."
dialogue_document_interaction_2,IA-LE!
