keys,ro
Text/a6/text,Facilitatea de frontieră se simte diferită astăzi. Tensionată. Patrule de securitate în număr mai mare în timp ce tăcerea precaută înlocuiește conversațiile.
Text/a7/text,"Aseară, au fost descoperite [pulse freq=2][color=CRIMSON]materiale interzise[/color][/pulse]. Pamflete conținând minciuni despre [color=DARK_VIOLET]Root Reserve[/color]."
Text/a8/text,Implementăm [wave amp=15 freq=2][color=DARK_ORANGE]protocoale de nivel de amenințare PORTOCALIU[/color][/wave]. Toți ofițerii sunt supuși verificărilor de loialitate. Toți călătorii se confruntă cu un control maxim.
Text/a9/text,Funcționează. Pamfletele se răspândesc. Oamenii pun întrebări despre [color=DARK_VIOLET]Root Reserve[/color].
Text/aa/text,Am surse care îmi spun că există un registru de livrări în biroul lui Russet - manifeste de transport care ar putea [tornado radius=3 freq=2][color=CHARTREUSE]dovedi totul[/color][/tornado].
Text/ab/text,"Am nevoie de ajutorul tău pentru a-l obține. În această seară, după tura finală. Pot conta pe tine?"
Choice/ac/text,Sunt de acord. Să dezvăluim adevărul.
Choice/ad/text,"Nu știu, Sasha... ar putea fi periculos."
Text/ae/text,Slavă Domnului. Știam că ai [color=CHARTREUSE]rădăcini mai puternice decât ceilalți[/color]. Ne vom întâlni la miezul nopții.
Text/af/text,Uneori trebuie să [color=CHARTREUSE]riscăm să fim zdrobiți pentru a face ceea ce este corect[/color]. Gândește-te la asta.
Text/b0/text,[color=DARK_ORANGE]Verificare de loialitate[/color]. Vă rugăm să vă declarați numele și ID-ul de ofițer. Apoi spuneți-mi de ce îl serviți pe Spud.
Choice/b1/text,Servesc pentru a proteja granițele noastre de influențe periculoase.
Choice/b2/text,Servesc pentru a asigura că toată lumea primește un tratament corect.
Text/b3/text,"Răspuns bun. Spud are nevoie de protectori loiali. Scannerul indică verde. Continuați, ofițer."
Text/b4/text,"Sprâncenele ofițerului se ridică. Tratament corect? Scannerul clipește [color=DARK_ORANGE]chihlimbar[/color]. Amintiți-vă, preocuparea noastră principală este securitatea, nu corectitudinea."
Text/b5/text,Cota de astăzi a fost mărită. Oricine cu materiale suspecte trebuie marcat pentru [color=DARK_VIOLET]procesare specială[/color].
Text/b6/text,Voi [color=DARK_ORANGE]urmări deciziile dumneavoastră[/color] foarte atent astăzi.
Text/b7/text,"Această noapte ar putea schimba totul. Dar mai întâi, [color=YELLOW]supraviețuiți zilei fără a ridica suspiciuni[/color]."
Choice/ac/disabled_text,
Choice/b2/disabled_text,
Choice/b1/disabled_text,
Choice/ad/disabled_text,
