keys,zh-CN
main_menu_feedback,反馈与错误
main_menu_version,版本 1.2.0
main_menu_new_game,新游戏
main_menu_continue,继续
main_menu_level_select,关卡选择
main_menu_score_attack,分数挑战
main_menu_options,选项
main_menu_credits,制作人员
main_menu_exit,退出
select_language,语言
social_discord_tooltip,加入我们的Discord！
social_steam_tooltip,访问我们的Steam页面
social_twitch_tooltip,Twitch整合
twitch_status_disabled,已禁用
twitch_status_no_viewers,暂无观众
twitch_status_ready,{count} 名观众已就绪
twitch_connection_disabled,已禁用
twitch_connection_disconnected,已断开连接
twitch_connection_connected,已连接
twitch_connection_connecting,连接中...
options_menu_title,选项
options_difficulty,难度
options_difficulty_easy,简单
options_difficulty_normal,普通
options_difficulty_expert,专家
options_music_volume,音乐音量
options_sfx_volume,音效音量
options_camera_shake,镜头震动
options_back,返回
paused_menu_title,暂停
shift_summary_title,班次总结
shift_summary_continue,继续
shift_summary_restart,重启
shift_summary_main_menu,主菜单
shift_summary_submit_score,提交分数
shift_summary_runner_stats,逃犯统计
shift_summary_document_stats,文件统计
shift_summary_performance,表现
shift_summary_bonuses,奖励
time_format,{minutes}分 {seconds}秒
shift_complete_success,班次 {shift} 完成\n成功！
shift_complete_failure,班次 {shift} 完成\n{failure}
strike_limit_reached,违规次数达到上限！
quota_not_met,配额未达标！
shift_summary_title_with_difficulty,班次总结\n{difficulty}
runner_stats_template,\n逃犯统计\n逃犯尝试次数: {runner_attempts}\n导弹发射数: {fired}\n命中逃犯数: {hit}\n完美命中数: {perfect}\n命中率: {rate}%
document_stats_template,\n文件统计\n已盖章文件: {stamped}\n已批准土豆: {approved}\n已拒绝土豆: {rejected}\n完美盖章数: {perfect_stamps}
bonus_stats_template,奖励\n处理速度奖励: {processing_speed_bonus}\n盖章准确度奖励: {accuracy}\n完美命中奖励: {perfect_hit_bonus}\n总分奖励: {total_score_bonus}
