keys,vi
dialogue_spud_being_called_1,"Bước tiếp theo, số phận của bạn đang chờ."
dialogue_spud_being_called_2,"Đầu hàng, khoảnh khắc sự thật đang đến gần."
dialogue_spud_being_called_3,"Tiến lên, kẻ được chọn của giống khoai."
dialogue_spud_being_called_4,Chúc mừng! Sự chờ đợi của bạn đã thành công.
dialogue_spud_being_called_5,Đại Quan Chế Khoai Tây triệu bạn.
dialogue_spud_being_called_6,"Tiến lên, khoai cao quý! Giấy tờ đang chờ!"
dialogue_spud_being_called_7,Di chuyển! Con dấu trở nên bồn chồn.
dialogue_spud_being_called_8,Di chuyển nhanh! Mẫu P-38B cần được điền.
dialogue_spud_being_called_9,"Tiến về phía trước, số phận đòi hỏi sự nhập cuộc của bạn."
dialogue_spud_being_called_10,"Đến gần quầy phán quyết, khoai ơi."
dialogue_spud_in_office_1,Xin hãy kiên nhẫn. Thời gian là ảo tưởng.
dialogue_spud_in_office_2,Sự chờ đợi xây dựng đức tính. Và tinh bột.
dialogue_spud_in_office_3,Hàng đợi di chuyển theo những cách bí ẩn.
dialogue_spud_in_office_4,Vị trí của bạn được ghi nhận bởi các nhà chức trách.
dialogue_spud_in_office_5,Đứng xếp hàng: hằng số phổ quát.
dialogue_spud_in_office_6,Không một khoai nào sẵn sàng trước khi được gia vị bởi sự chờ đợi.
dialogue_spud_in_office_7,"Kiên nhẫn: không phải đức tính duy nhất, nhưng được đề cập."
dialogue_spud_in_office_8,Bánh xe quan liêu quay chậm. Rất chậm.
dialogue_spud_in_office_9,"Ôi, âm thanh ngọt ngào của thủ tục!"
dialogue_spud_in_office_10,Hàng đợi của hôm nay là câu chuyện kể của ngày mai.
dialogue_spud_in_office_11,Thời gian trong hàng đợi uốn cong. Nó đã được đo lường.
dialogue_spud_in_office_12,Kỹ năng chờ đợi: Đạt cấp độ 43!
dialogue_warnings_1,Những kẻ chống đối sẽ bị bóc vỏ với độ chính xác.
dialogue_warnings_2,Những kẻ xen vào hàng sẽ bị gửi đến Xử Lý Nhanh.
dialogue_warnings_3,Phá vỡ hàng đợi kích hoạt các bài giảng về hàng đợi.
dialogue_warnings_4,Sự bất tuân dẫn đến Phòng Dầu Nóng.
dialogue_warnings_5,"Chúng tôi không cần phải công bằng, chỉ cần tổ chức."
dialogue_warnings_6,Ủy Ban Tuân Thủ Khoai Tây nhìn thấy tất cả.
dialogue_warnings_7,Những kẻ gây rối: bị nghiền nát không cần bơ.
dialogue_warnings_8,Những kẻ gây hỗn loạn trở thành khoai chiên. Nhanh chóng.
dialogue_warnings_9,Những kẻ vi phạm quy tắc phải đối mặt với trạng thái nướng hai lần.
dialogue_warnings_10,Các Kiểm Toán Viên Hàng Đợi đã đánh dấu sự tồn tại của bạn.
dialogue_warnings_11,Hồ sơ của bạn: được đánh dấu bằng con dấu ĐỎ.
dialogue_misc_1,Mọi người ở đâu?
dialogue_misc_2,Tình trạng khẩn cấp? Tiếp tục chờ đợi theo thứ tự.
dialogue_misc_3,Bạn đã đọc đoạn thứ bảy của thỏa thuận chờ đợi chưa?
dialogue_misc_4,"Tài sản bị mất: được tìm thấy, bị đánh thuế, bị thất lạc."
dialogue_misc_5,"Nếu một quả khoai than phiền, liệu nó có phát ra âm thanh không?"
dialogue_misc_6,Ánh sáng được thay thế bằng biển báo: 'Thêm Đường Hầm.'
dialogue_misc_7,Cái chết là tạm thời. Quan liêu là vĩnh hằng.
dialogue_misc_8,Hệ thống lưu trữ đã đạt đến ý thức. Hãy bình tĩnh.
dialogue_misc_9,Những con số may mắn của hôm nay không có ý nghĩa gì. Xin lỗi.
dialogue_misc_10,"Khải huyền? Lấy một số, chờ để biến mất."
dialogue_misc_11,Không có bằng chứng có nghĩa là thêm biểu mẫu.
dialogue_document_interaction_1,"Hãy lấy tài liệu của bạn, làm ơn."
dialogue_document_interaction_2,HÃY LẤY CHÚNG!
