keys,vi
achievement_unlocked_title,ĐÃ MỞ KHÓA THÀNH TỰU!
achievements_menu_button,Thành Tựu
achievements_progress_format,%d / %d Đã Mở Khóa
achievement_hidden_name,???
achievement_hidden_desc,Thành tựu này bị ẩn cho đến khi được mở khóa
achievement_category_gameplay,Lối Chơi
achievement_category_resistance,Con Đường Kháng Chiến
achievement_category_loyalist,Con Đường Trung Thành
achievement_category_character,Cốt Truyện Nhân Vật
achievement_category_discovery,Khám Phá
achievement_rookie_officer_name,Sĩ Quan Tập Sự
achievement_rookie_officer_desc,Hoàn thành ca làm việc đầu tiên tại biên giới
achievement_veteran_officer_name,Cựu Binh Hải Quan
achievement_veteran_officer_desc,Hoàn thành 10 ca làm việc tại biên giới
achievement_master_officer_name,Bậc Thầy Hải Quan
achievement_master_officer_desc,Hoàn thành 25 ca làm việc tại biên giới
achievement_sharpshooter_name,Xạ Thủ
achievement_sharpshooter_desc,Chặn 10 kẻ vượt biên bằng hệ thống tên lửa
achievement_border_defender_name,Người Bảo Vệ Biên Giới
achievement_border_defender_desc,Chặn 50 kẻ vượt biên bằng hệ thống tên lửa
achievement_perfect_shot_name,Cú Bắn Hoàn Hảo
achievement_perfect_shot_desc,Hạ gục 5 kẻ vượt biên bằng những cú bắn hoàn hảo
achievement_high_scorer_name,Người Ghi Điểm Cao
achievement_high_scorer_desc,Đạt được 10 điểm
achievement_score_legend_name,Huyền Thoại Điểm Số
achievement_score_legend_desc,Đạt được 50 điểm
achievement_savior_of_spud_name,Vị Cứu Tinh của Spud
achievement_savior_of_spud_desc,Hoàn thành câu chuyện và cứu quốc gia
achievement_born_diplomat_name,Nhà Ngoại Giao Bẩm Sinh
achievement_born_diplomat_desc,Đạt được kết thúc ngoại giao thông qua đàm phán hòa bình
achievement_tater_of_justice_name,Củ Khoai Công Lý
achievement_tater_of_justice_desc,Mang lại công lý cho các quan chức tham nhũng
achievement_best_served_hot_name,Trả Thù Nóng Hổi
achievement_best_served_hot_desc,Trả thù những kẻ đã hãm hại bạn
achievement_down_with_tatriarchy_name,Đả đảo Chế độ Khoai Trị
achievement_down_with_tatriarchy_desc,Lãnh đạo cuộc cách mạng và lật đổ chế độ
achievement_heart_of_stone_name,Trái Tim Sắt Đá
achievement_heart_of_stone_desc,Vẫn là một quan chức lạnh lùng và vâng lời cho đến cùng
achievement_survivor_name,Người Sống Sót
achievement_survivor_desc,Làm mọi cách để sống sót qua chế độ
achievement_late_bloomer_name,Nở Muộn
achievement_late_bloomer_desc,Tìm thấy sự cứu rỗi vào khoảnh khắc cuối cùng
achievement_tommys_legacy_name,Di Sản của Tommy
achievement_tommys_legacy_desc,Khám phá sự thật về số phận của Tommy
achievement_elenas_memory_name,Ký Ức của Elena
achievement_elenas_memory_desc,Tôn vinh sự hy sinh của Elena và ghi nhớ câu chuyện của cô ấy
achievement_the_note_name,Tờ Ghi Chú
achievement_the_note_desc,Khám phá tờ ghi chú bí mật và thông điệp ẩn giấu của nó
achievement_root_of_evil_name,Gốc Rễ của Cái Ác
achievement_root_of_evil_desc,Phơi bày sự tham nhũng tại trung tâm của chế độ
achievement_chaos_architect_name,Kiến Trúc Sư Hỗn Loạn
achievement_chaos_architect_desc,Đón nhận hỗn loạn và chứng kiến thế giới chìm trong biển lửa
